InventoryID,ItemNumber,Vendor,OEM,PartDescription,ListPrice,OutrightCosttoPartsSource,ExchangeCost,CoreCharge,ConditionCode,UOM,QTYUOM,StockYN,QOH,LeadTime,CompatibleModels,ManufacturedYear,Usage,InventoryID_2,InventoryID_3,CuryID,Subitem,Warehouse,InventoryID_4,Subitem_2,Warehouse_2,Location,RefNoteID,Attribute,InventoryID_5,Currency,ReplClass,Warehouse_3,LocationID
010000124,010000124,Avante Health Solutions,Siemens,MICRO SWITCH,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,010000124,20970,USD,0,ADI MAIN,,,,,4cb12799-906b-e911-8172-ae6f57ba0111,PARTGROUP,010000124,USD,PURCHASE,,
01000124-N,01000124-N,Avante Health Solutions,SIEMENS,MICROSWITCH 1CO 6A 250VAC AG,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,New OEM,Each,Each,Y,,1-5 Days,,,,01000124-N,167213,USD,0,ADI MAIN,,,,,6377d97e-6448-ef11-835a-121089124341,PARTGROUP,01000124-N,USD,PURCHASE,,
0100240,0100240,Avante Health Solutions,Siemens,RANGER 150 LEXS06,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,0100240,20491,USD,0,ADI MAIN,,,,,e0814163-906b-e911-8172-ae6f57ba0111,PARTGROUP,0100240,USD,PURCHASE,,
010831193,010831193,Avante Health Solutions,Siemens,101NR PATIENT MONITOR /RADIOLOGIX,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,010831193,21188,USD,0,ADI MAIN,,,,,4b4137ab-906b-e911-8172-ae6f57ba0111,PARTGROUP,010831193,USD,PURCHASE,,
00-885305-03,00-885305-03,Avante Health Solutions,GE,ROLLER BEARING KIT,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-885305-03,62997,USD,0,ADI MAIN,,,,,c28e0950-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-885305-03,USD,PURCHASE,,
00-885305-04,00-885305-04,Avante Health Solutions,GE,ROLLER BEARING KIT,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-885305-04,62998,USD,0,ADI MAIN,,,,,d58e0950-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-885305-04,USD,PURCHASE,,
00-885796-01,00-885796-01,Avante Health Solutions,GE,Vortex Image Processor Board,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-885796-01,63001,USD,0,ADI MAIN,,,,,0f8f0950-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-885796-01,USD,PURCHASE,,
00-886375-01,00-886375-01,Avante Health Solutions,GE,CPU Pentium Board 9800,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-886375-01,63003,USD,0,ADI MAIN,,,,,ddbd0e56-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-886375-01,USD,PURCHASE,,
00-886686-01,00-886686-01,Avante Health Solutions,GE,ROCKER ASSY FS UPGRADE FOR OEC 9800,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-886686-01,63004,USD,0,ADI MAIN,,,,,f0bd0e56-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-886686-01,USD,PURCHASE,,
00-900669-01,00-900669-01,Avante Health Solutions,GE,9800 Floppy Drive,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-900669-01,63008,USD,0,ADI MAIN,,,,,3cbe0e56-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-900669-01,USD,PURCHASE,,
00-901141-04,00-901141-04,Avante Health Solutions,GE,HV Cable Harness Assembly,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-901141-04,63018,USD,0,ADI MAIN,,,,,fabe0e56-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-901141-04,USD,PURCHASE,,
00-902226-01,00-902226-01,Avante Health Solutions,GE,Seagate Cheetah Hard Drive,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-902226-01,63026,USD,0,ADI MAIN,,,,,93bf0e56-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-902226-01,USD,PURCHASE,,
00-91400-01,00-91400-01,Avante Health Solutions,GE,+5/+12 V PWR SUPPLY 9800,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-91400-01,63032,USD,0,ADI MAIN,,,,,05c00e56-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-91400-01,USD,PURCHASE,,
01000124,01000124,Avante Health Solutions,SIEMENS,MICROSWITCH 1CO 6A 250VAC AG,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,01000124,167212,USD,0,ADI MAIN,,,,,343bd360-6448-ef11-835a-121089124341,PARTGROUP,01000124,USD,PURCHASE,,
01084649,01084649,Avante Health Solutions,Siemens,MICROSWITCH CT,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,01084649,63035,USD,0,ADI MAIN,,,,,3fc00e56-3264-ea11-817b-a9605c8569c6,PARTGROUP,01084649,USD,PURCHASE,,
01141097,01141097,Avante Health Solutions,Siemens,Res.Con. Mark II,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,01141097,63036,USD,0,ADI MAIN,,,,,52c00e56-3264-ea11-817b-a9605c8569c6,PARTGROUP,01141097,USD,PURCHASE,,
01267,01267,Avante Health Solutions,,Kidde S7 Pushbutton Combination Keybox,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,01267,63037,USD,0,ADI MAIN,,,,,66c00e56-3264-ea11-817b-a9605c8569c6,PARTGROUP,01267,USD,PURCHASE,,
00.035.015,00.035.015,Avante Health Solutions,ULTRASONIX,Ultrasonix PA4-2/20mm Phased Array Transducer,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,1.000000,1-5 Days,,,,00.035.015,76378,USD,0,AUE MAIN,00.035.015,0,AUE MAIN,A48,d38302a2-6868-ea11-817c-8cbf77a7ab76,PARTGROUP,00.035.015,USD,PURCHASE,AUE MAIN,A48
00.035.038,00.035.038,Avante Health Solutions,ULTRASONIX,UMC SA4-2/20mm X'dcr,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,1.000000,1-5 Days,,,,00.035.038,76385,USD,0,AUE MAIN,00.035.038,0,AUE MAIN,A33,518402a2-6868-ea11-817c-8cbf77a7ab76,PARTGROUP,00.035.038,USD,PURCHASE,AUE MAIN,A33
00-00312-N,00-00312-N,Avante Health Solutions,Philips,Icron Rover 2850 - 2 Port USB 1.1 CAT5e Extender (280 ft) - Line Powered,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,New OEM,Each,Each,Y,,1-5 Days,,,,00-00312-N,158065,USD,0,ADI MAIN,,,,,d83e4343-df48-ed11-8188-12e75f4d5d6d,PARTGROUP,00-00312-N,USD,PURCHASE,,
00-876704-01,00-876704-01,Avante Health Solutions,GE,Handle brake C-Rotation,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-876704-01,62923,USD,0,ADI MAIN,,,,,f7e2064a-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-876704-01,USD,PURCHASE,,
00-878729-06,00-878729-06,Avante Health Solutions,GE,HV SUPPLY REGULATOR 9800,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-878729-06,62932,USD,0,ADI MAIN,,,,,a2e3064a-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-878729-06,USD,PURCHASE,,
00-879447-01,00-879447-01,Avante Health Solutions,GE,"CABLE ASM, FIL DRV-HV TANK",Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-879447-01,62946,USD,0,ADI MAIN,,,,,ace4064a-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-879447-01,USD,PURCHASE,,
00-879462-01,00-879462-01,Avante Health Solutions,GE,Ribbon Cable,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-879462-01,62947,USD,0,ADI MAIN,,,,,bfe4064a-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-879462-01,USD,PURCHASE,,
00-879468-04,00-879468-04,Avante Health Solutions,GE,"Cable Asm, Fast Scan-BNC",Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-879468-04,62949,USD,0,ADI MAIN,,,,,e5e4064a-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-879468-04,USD,PURCHASE,,
00-87960-01,00-87960-01,Avante Health Solutions,GE,ASM Cable IP-Video Cont. 9800,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-87960-01,62953,USD,0,ADI MAIN,,,,,32e5064a-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-87960-01,USD,PURCHASE,,
00-884594-02,00-884594-02,Avante Health Solutions,GE,S2 Display Adapter Board,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-884594-02,62985,USD,0,ADI MAIN,,,,,d08d0950-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-884594-02,USD,PURCHASE,,
00-884615-01,00-884615-01,Avante Health Solutions,GE,Monitor Housing,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-884615-01,62986,USD,0,ADI MAIN,,,,,e38d0950-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-884615-01,USD,PURCHASE,,
00-885305-01,00-885305-01,Avante Health Solutions,GE,ROLLER BEARING KIT,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-885305-01,62995,USD,0,ADI MAIN,,,,,9c8e0950-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-885305-01,USD,PURCHASE,,
00-885305-02,00-885305-02,Avante Health Solutions,GE,ROLLER BEARING KIT,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-885305-02,62996,USD,0,ADI MAIN,,,,,af8e0950-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-885305-02,USD,PURCHASE,,
01608558,01608558,Avante Health Solutions,Siemens,Laser Light Localizer,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,32.000000,1-5 Days,,,,01608558,20926,USD,0,ADI MAIN,01608558,0,ADI MAIN,M63,d2662a93-906b-e911-8172-ae6f57ba0111,PARTGROUP,01608558,USD,PURCHASE,ADI MAIN,M63
020228Y1,020228Y1,Avante Health Solutions,,MRI UPS Battery,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,020228Y1,63039,USD,0,ADI MAIN,,,,,8dc00e56-3264-ea11-817b-a9605c8569c6,PARTGROUP,020228Y1,USD,PURCHASE,,
027119,027119,Avante Health Solutions,Siemens,Computer Fan,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,027119,63041,USD,0,ADI MAIN,,,,,b4c00e56-3264-ea11-817b-a9605c8569c6,PARTGROUP,027119,USD,PURCHASE,,
02K1122,02K1122,Avante Health Solutions,,Hitachi CDR8130 CD-Rom Drive,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,02K1122,63042,USD,0,ADI MAIN,,,,,c8c00e56-3264-ea11-817b-a9605c8569c6,PARTGROUP,02K1122,USD,PURCHASE,,
0300076,0300076,Avante Health Solutions,GE,Teal PDU Control Board,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,0300076,63047,USD,0,ADI MAIN,,,,,9aad0d5c-3264-ea11-817b-a9605c8569c6,PARTGROUP,0300076,USD,PURCHASE,,
